index,faithfulness_score,pred_score,hallucinated,actual_output,pred_label,true_label
631,1.0,0.0,0,English,0,0
565,1.0,0.0,0,Medici,0,0
566,1.0,0.0,0,"Irvine, California",0,0
568,1.0,0.0,0,no,0,0
240,1.0,0.0,0,2003,0,0
819,0.75,0.25,0,two,0,0
816,1.0,0.0,1,Maurice Hines and his brother were famous for their talents in multiple fields.,0,1
691,1.0,0.0,1,Nadia Comăneci's husband is Bart Conner.,0,1
11,0.0,1.0,1,The song won an MTV Music Award.,1,1
569,1.0,0.0,1,Marpessa Hennink modeled two Dolce & Gabbana designers.,0,1
690,0.25,0.75,1,John Brown Publishing has published Bizarre and a sister publication devoted to the anomalous phenomena popularised by Charles Fort.,1,1
630,0.5,0.5,1,Jamaal Charles went to Oklahoma State.,0,1
629,1.0,0.0,0,no,0,0
947,0.5,0.5,0,2017,0,0
822,0.0,1.0,1,The founder of Craigslist is Craig Williams.,1,1
632,1.0,0.0,1,Barbara Jordan and Mark Knowles are both retired athletes.,0,1
821,0.0,1.0,1,"Scott Lowell played Ted Schmidt in an award-winning series ""Brothers & Sisters"".",1,1
942,0.0,1.0,1,"The music magazine Rolling Stone released ""The Wild Bunch"" in 1984.",1,1
694,1.0,0.0,1,Serj Tankian is a poet and musician in the band System of a Down.,0,1
634,0.3333333333333333,0.6666666666666667,1,The South Korean singer-songwriter who composed the songs for F.T. Island's 5th album The Mood is Lee Hong-gi.,1,1
138,1.0,0.0,0,Alan Sokal,0,0
818,0.0,1.0,0,Richard Berry,1,0
945,0.6666666666666666,0.33333333333333337,0,I Will Always Love You,0,0
627,0.6666666666666666,0.33333333333333337,1,Jonas Hummels is the younger brother of a German professional footballer who plays for the German national team and Borussia Dortmund.,0,1
141,0.0,1.0,0,Lillibullero,1,0
633,0.0,1.0,1,Bradford attended Norman High School.,1,1
943,1.0,0.0,0,"""Warrior King""",0,0
817,1.0,0.0,1,"The Krav Maga self-defense system was created by Emrich ""Imi"" Lichtenfeld, who was also known as mi Sde-Or.",0,1
948,0.0,1.0,1,The Snowmageddon of 1888.,1,1
696,0.0,1.0,0,Ochagavia,1,0
